Area,Age,Sex,Year at 30 June,Value,Flags
"512600 Konini","Total people, age","Total people, sex","2017",3910,
"512500 Mcleod","Total people, age","Total people, sex","2017",7030,
"512402 Wakeling","Total people, age","Total people, sex","2017",4320,
"512401 Edmonton","Total people, age","Total people, sex","2017",3880,
"512300 Te Atatu Central","Total people, age","Total people, sex","2017",5460,
"512202 Durham Green","Total people, age","Total people, sex","2017",5070,
"512201 Matipo","Total people, age","Total people, sex","2017",3390,
"512100 Green Bay","Total people, age","Total people, sex","2017",4540,
"512000 Titirangi South","Total people, age","Total people, sex","2017",3810,
"511902 Crum Park","Total people, age","Total people, sex","2017",4460,
"511901 Kaurilands","Total people, age","Total people, sex","2017",3530,
"511800 Sunnyvale","Total people, age","Total people, sex","2017",4670,
"511700 Kelston Central","Total people, age","Total people, sex","2017",5300,
"511602 Glendene South","Total people, age","Total people, sex","2017",3230,
"511601 Glendene North","Total people, age","Total people, sex","2017",5120,
"511402 Rewarewa","Total people, age","Total people, sex","2017",4940,
"511401 Fruitvale","Total people, age","Total people, sex","2017",5200,
"511303 Lynnmall","Total people, age","Total people, sex","2017",2830,
"511302 New Lynn South","Total people, age","Total people, sex","2017",3240,
"511301 New Lynn North","Total people, age","Total people, sex","2017",3080,
"511100 Glen Eden East","Total people, age","Total people, sex","2017",7930,
"511002 Woodglen","Total people, age","Total people, sex","2017",5190,
"511001 Tangutu","Total people, age","Total people, sex","2017",3600,
"510800 Henderson South","Total people, age","Total people, sex","2017",5260,
"510700 Henderson North","Total people, age","Total people, sex","2017",6420,
"510500 Birkenhead East","Total people, age","Total people, sex","2017",4640,
"510402 Chelsea","Total people, age","Total people, sex","2017",4300,
"510401 Kauri Park","Total people, age","Total people, sex","2017",4410,
"510220 Birkdale South","Total people, age","Total people, sex","2017",4710,
"510210 Birkdale North","Total people, age","Total people, sex","2017",3390,
"510020 Beachhaven South","Total people, age","Total people, sex","2017",5260,
"510010 Beachhaven North","Total people, age","Total people, sex","2017",6210,
"509800 Northcote South","Total people, age","Total people, sex","2017",4700,
"509702 Tuff Crater","Total people, age","Total people, sex","2017",5000,
"509701 Ocean View","Total people, age","Total people, sex","2017",5030,
"509500 Stanley Bay","Total people, age","Total people, sex","2017",2510,
"509400 Mt Victoria","Total people, age","Total people, sex","2017",5970,
"509300 Narrow Neck","Total people, age","Total people, sex","2017",4150,
"509100 Greenhithe","Total people, age","Total people, sex","2017",9580,
"509000 Paremoremo East","Total people, age","Total people, sex","2017",3020,
"508900 Long Bay","Total people, age","Total people, sex","2017",1590,
"508807 North Harbour East","Total people, age","Total people, sex","2017",4380,
"508806 North Harbour West","Total people, age","Total people, sex","2017",6070,
"508805 Windsor Park","Total people, age","Total people, sex","2017",2140,
"508804 Pinehill","Total people, age","Total people, sex","2017",4920,
"508803 Unsworth Heights","Total people, age","Total people, sex","2017",6470,
"508704 Northcross","Total people, age","Total people, sex","2017",5560,
"508703 Fairview","Total people, age","Total people, sex","2017",3740,
"508701 Albany","Total people, age","Total people, sex","2017",4180,
"508620 Sunnybrae","Total people, age","Total people, sex","2017",3660,
"508610 Monarch Park","Total people, age","Total people, sex","2017",5520,
"508520 Sunnynook","Total people, age","Total people, sex","2017",7730,
"508510 Forrest Hill","Total people, age","Total people, sex","2017",6560,
"508420 Target Road","Total people, age","Total people, sex","2017",7720,
"508412 Witheford","Total people, age","Total people, sex","2017",3630,
"508411 Glendhu","Total people, age","Total people, sex","2017",6430,
"508320 Glenfield North","Total people, age","Total people, sex","2017",5050,
"508310 Glenfield Central","Total people, age","Total people, sex","2017",5450,
"508220 Windy Ridge","Total people, age","Total people, sex","2017",4130,
"508210 Kaipatiki","Total people, age","Total people, sex","2017",5340,
"508120 Bayswater","Total people, age","Total people, sex","2017",2860,
"508110 Seacliffe","Total people, age","Total people, sex","2017",3970,
"508020 Hauraki","Total people, age","Total people, sex","2017",6690,
"508010 Takapuna Central","Total people, age","Total people, sex","2017",3500,
"507900 Westlake","Total people, age","Total people, sex","2017",5770,
"507800 Lake Pupuke","Total people, age","Total people, sex","2017",5810,
"507720 Crown Hill","Total people, age","Total people, sex","2017",4000,
"507710 Castor Bay","Total people, age","Total people, sex","2017",3450,
"507500 Campbells Bay","Total people, age","Total people, sex","2017",2700,
"507400 Mairangi Bay","Total people, age","Total people, sex","2017",6130,
"507300 Murrays Bay","Total people, age","Total people, sex","2017",5410,
"507200 Rothesay Bay","Total people, age","Total people, sex","2017",6200,
"507102 Oaktree","Total people, age","Total people, sex","2017",4920,
"507101 Browns Bay","Total people, age","Total people, sex","2017",4700,
"507000 Waiake","Total people, age","Total people, sex","2017",4880,
"506903 Torbay","Total people, age","Total people, sex","2017",5590,
"506902 Glamorgan","Total people, age","Total people, sex","2017",3810,
"506901 Awaruku","Total people, age","Total people, sex","2017",4160,
"506661 Cape Rodney South","Total people, age","Total people, sex","2017",3300,
"506800 Helensville","Total people, age","Total people, sex","2017",3070,
"527004 Matangi","Total people, age","Total people, sex","2017",2410,
"526900 Te Kauwhata","Total people, age","Total people, sex","2017",1720,
"526702 Te Akau","Total people, age","Total people, sex","2017",1070,
"526701 Onewhero","Total people, age","Total people, sex","2017",4340,
"526602 Te Uku","Total people, age","Total people, sex","2017",2110,
"526601 Waikato Western Hills","Total people, age","Total people, sex","2017",4530,
"526500 Raglan","Total people, age","Total people, sex","2017",3240,
"526400 Rotowaro","Total people, age","Total people, sex","2017",0,
"526200 Tuakau","Total people, age","Total people, sex","2017",4950,
"526106 Pukeoware","Total people, age","Total people, sex","2017",250,
"521153 Otaua","Total people, age","Total people, sex","2017",2630,
"521135 Mangatawhiri","Total people, age","Total people, sex","2017",1770,
"521131 Pokeno","Total people, age","Total people, sex","2017",2780,
"521117 Buckland South","Total people, age","Total people, sex","2017",1010,
"521115 Opuawhanga","Total people, age","Total people, sex","2017",270,
"521114 Redoubt","Total people, age","Total people, sex","2017",220,
"534400 Waihi","Total people, age","Total people, sex","2017",5170,
"534300 Paeroa","Total people, age","Total people, sex","2017",4420,
"534200 Ohinemuri","Total people, age","Total people, sex","2017",3440,
"533903 Kerepehi","Total people, age","Total people, sex","2017",490,
"533902 Turua","Total people, age","Total people, sex","2017",1410,
"533901 Hauraki Plains","Total people, age","Total people, sex","2017",2700,
"533800 Ngatea","Total people, age","Total people, sex","2017",1360,
"521136 Kaiaua","Total people, age","Total people, sex","2017",840,
"617200 Inlet-Takapuna Head","Total people, age","Total people, sex","2017",0,
"617102 Inlet-Kaipara River","Total people, age","Total people, sex","2017",0,
"617101 Inlet-Kaipara Harbour South","Total people, age","Total people, sex","2017",0,
"616400 Aiguilles Island","Total people, age","Total people, sex","2017",0,
"616300 Browns Island","Total people, age","Total people, sex","2017",0,
"616200 Rakitu Island","Total people, age","Total people, sex","2017",0,
"616100 Cape Barrier","Total people, age","Total people, sex","2017",0,
"616002 Inlet-Port Fitzroy","Total people, age","Total people, sex","2017",0,
"616001 Kaikoura and Rangiahua Islands","Total people, age","Total people, sex","2017",50,
"615900 Little Barrier Island","Total people, age","Total people, sex","2017",0,
"615800 Mokohinau Island","Total people, age","Total people, sex","2017",0,
"526105 South Waiuku","Total people, age","Total people, sex","2017",1810,
"526104 Waiuku East","Total people, age","Total people, sex","2017",3960,
"526103 Waiuku West","Total people, age","Total people, sex","2017",3580,
"525922 Bledisloe Park","Total people, age","Total people, sex","2017",3280,
"525921 Pukekohe West","Total people, age","Total people, sex","2017",7760,
"525910 Pukekohe North","Total people, age","Total people, sex","2017",10750,
"525700 Red Hill","Total people, age","Total people, sex","2017",2850,
"525630 Papakura North East","Total people, age","Total people, sex","2017",4820,
"525620 Massey Park","Total people, age","Total people, sex","2017",2160,
"525610 Papakura East","Total people, age","Total people, sex","2017",7170,
"525540 Pahurehure","Total people, age","Total people, sex","2017",3440,
"525530 Rosehill","Total people, age","Total people, sex","2017",3680,
"525520 Opaheke","Total people, age","Total people, sex","2017",2940,
"525510 Papakura South","Total people, age","Total people, sex","2017",1920,
"525420 Papakura North","Total people, age","Total people, sex","2017",2710,
"525410 Papakura Central","Total people, age","Total people, sex","2017",2400,
"525202 Kawakawa-Orere","Total people, age","Total people, sex","2017",1110,
"525201 Clevedon","Total people, age","Total people, sex","2017",2870,
"525102 Wattle Farm","Total people, age","Total people, sex","2017",8230,
"525101 Leabank","Total people, age","Total people, sex","2017",6010,
"525002 Beaumont","Total people, age","Total people, sex","2017",2760,
"525001 Manurewa Central","Total people, age","Total people, sex","2017",4990,
"524902 Manurewa East","Total people, age","Total people, sex","2017",2810,
"524901 Hillpark","Total people, age","Total people, sex","2017",5820,
"524822 Clendon South","Total people, age","Total people, sex","2017",5750,
"524821 Clendon North","Total people, age","Total people, sex","2017",3410,
"524812 Weymouth East","Total people, age","Total people, sex","2017",5790,
"524811 Weymouth West","Total people, age","Total people, sex","2017",4760,
"524720 Homai East","Total people, age","Total people, sex","2017",7130,
"524713 Rowandale","Total people, age","Total people, sex","2017",3700,
"524712 Homai West","Total people, age","Total people, sex","2017",2430,
"524711 Burbank","Total people, age","Total people, sex","2017",3920,
"524604 Manukau Central","Total people, age","Total people, sex","2017",1890,
"524603 Puhinui South","Total people, age","Total people, sex","2017",3270,
"524602 Wiri","Total people, age","Total people, sex","2017",4500,
"524530 Harania East","Total people, age","Total people, sex","2017",5830,
"524520 Harania West","Total people, age","Total people, sex","2017",5530,
"524510 Harania North","Total people, age","Total people, sex","2017",4270,
"524405 Favona South","Total people, age","Total people, sex","2017",3840,
"524404 Favona North","Total people, age","Total people, sex","2017",2900,
"524403 Favona West","Total people, age","Total people, sex","2017",3100,
"524402 Mangere Station","Total people, age","Total people, sex","2017",200,
"524303 Kohuora","Total people, age","Total people, sex","2017",6960,
"524302 Aorere","Total people, age","Total people, sex","2017",6150,
"524301 Mangere East","Total people, age","Total people, sex","2017",6750,
"524200 Mangere South","Total people, age","Total people, sex","2017",8220,
"524122 Viscount","Total people, age","Total people, sex","2017",4580,
"524121 Arahanga","Total people, age","Total people, sex","2017",2450,
"524112 Mascot","Total people, age","Total people, sex","2017",4480,
"524111 Mangere Central","Total people, age","Total people, sex","2017",3420,
"524002 Mangere Bridge","Total people, age","Total people, sex","2017",6600,
"524001 Ambury","Total people, age","Total people, sex","2017",3590,
"523920 Takanini West","Total people, age","Total people, sex","2017",5080,
"523912 Takanini South","Total people, age","Total people, sex","2017",6360,
"523911 Takanini North","Total people, age","Total people, sex","2017",4210,
"523820 Redoubt South","Total people, age","Total people, sex","2017",7180,
"523819 Mill Road","Total people, age","Total people, sex","2017",960,
"523818 Redoubt East","Total people, age","Total people, sex","2017",990,
"523817 Hyperion","Total people, age","Total people, sex","2017",2500,
"523816 Randwick Park","Total people, age","Total people, sex","2017",3980,
"523814 Totara Heights","Total people, age","Total people, sex","2017",6500,
"523813 Ardmore","Total people, age","Total people, sex","2017",1520,
"523722 Redoubt North","Total people, age","Total people, sex","2017",5700,
"523721 Clover Park","Total people, age","Total people, sex","2017",5180,
"523713 Ormiston","Total people, age","Total people, sex","2017",8270,
"523712 Donegal Park","Total people, age","Total people, sex","2017",8970,
"523711 Rongomai","Total people, age","Total people, sex","2017",5410,
"523602 Ferguson","Total people, age","Total people, sex","2017",4990,
"523601 Otara South","Total people, age","Total people, sex","2017",3920,
"523502 Otara East","Total people, age","Total people, sex","2017",5320,
"523501 Otara North","Total people, age","Total people, sex","2017",1940,
"523404 Grange","Total people, age","Total people, sex","2017",720,
"523403 Wymondley","Total people, age","Total people, sex","2017",1440,
"523402 Otara West","Total people, age","Total people, sex","2017",3700,
"523300 Beachlands-Maraetai","Total people, age","Total people, sex","2017",7870,
"523202 Turanga","Total people, age","Total people, sex","2017",2440,
"523201 Shelly Park","Total people, age","Total people, sex","2017",2380,
"523116 Mission Heights","Total people, age","Total people, sex","2017",3090,
"523115 Baverstock Oaks","Total people, age","Total people, sex","2017",8100,
"523114 Point View","Total people, age","Total people, sex","2017",6140,
"523113 Greenmount","Total people, age","Total people, sex","2017",5420,
"523112 Highbrook","Total people, age","Total people, sex","2017",50,
"523110 Kilkenny","Total people, age","Total people, sex","2017",3290,
"523109 Dannemora","Total people, age","Total people, sex","2017",4420,
"523107 Burswood","Total people, age","Total people, sex","2017",1970,
"523106 Millhouse","Total people, age","Total people, sex","2017",5700,
"523105 Golfland","Total people, age","Total people, sex","2017",2730,
"523102 Meadowland","Total people, age","Total people, sex","2017",5070,
"523101 Howick South","Total people, age","Total people, sex","2017",5660,
"523000 Pakuranga East","Total people, age","Total people, sex","2017",6070,
"522920 Edgewater","Total people, age","Total people, sex","2017",4940,
"522910 Pakuranga Central","Total people, age","Total people, sex","2017",4150,
"522820 Sunnyhills","Total people, age","Total people, sex","2017",3830,
"522810 Pakuranga North","Total people, age","Total people, sex","2017",5020,
"522730 Half Moon Bay","Total people, age","Total people, sex","2017",4260,
"522723 Elsmore Park","Total people, age","Total people, sex","2017",3400,
"522722 Highland Park","Total people, age","Total people, sex","2017",4780,
"522721 Pigeon Mountain South","Total people, age","Total people, sex","2017",1440,
"522712 Murvale","Total people, age","Total people, sex","2017",4650,
"522711 Pigeon Mountain North","Total people, age","Total people, sex","2017",3780,
"522605 Half Moon Bay Marina","Total people, age","Total people, sex","2017",10,
"522604 Bucklands Beach South","Total people, age","Total people, sex","2017",3030,
"522603 Bleakhouse","Total people, age","Total people, sex","2017",2100,
"522601 Bucklands and Eastern Beaches","Total people, age","Total people, sex","2017",5850,
"522400 Puhinui North","Total people, age","Total people, sex","2017",5070,
"522302 Papatoetoe East","Total people, age","Total people, sex","2017",6350,
"522301 Dingwall","Total people, age","Total people, sex","2017",4160,
"522202 Papatoetoe Central","Total people, age","Total people, sex","2017",5300,
"522201 Papatoetoe North","Total people, age","Total people, sex","2017",6390,
"522100 Papatoetoe West","Total people, age","Total people, sex","2017",6640,
"521902 Middlemore","Total people, age","Total people, sex","2017",110,
"521901 Otahuhu West","Total people, age","Total people, sex","2017",5610,
"521803 Otahuhu East","Total people, age","Total people, sex","2017",2360,
"521802 Fairburn","Total people, age","Total people, sex","2017",3940,
"521801 Otahuhu North","Total people, age","Total people, sex","2017",3210,
"521602 Howick Central","Total people, age","Total people, sex","2017",7180,
"521601 Howick West","Total people, age","Total people, sex","2017",3140,
"521502 Cockle Bay","Total people, age","Total people, sex","2017",5350,
"521501 Mellons Bay","Total people, age","Total people, sex","2017",3650,
"521302 Runciman","Total people, age","Total people, sex","2017",550,
