Area,Age,Sex,Year at 30 June,Value,Flags
"Waitemata local board area","65 years and over","Total people, sex","2017",7200,
"Waiheke local board area","65 years and over","Total people, sex","2017",1960,
"Great Barrier local board area","65 years and over","Total people, sex","2017",280,
"Waitakere Ranges local board area","65 years and over","Total people, sex","2017",5700,
"Mangere-Otahuhu local board area","65 years and over","Total people, sex","1996",4000,
"Otara-Papatoetoe local board area","65 years and over","Total people, sex","1996",5500,
"Manurewa local board area","65 years and over","Total people, sex","1996",3800,
"Papakura local board area","65 years and over","Total people, sex","1996",3500,
"Franklin local board area","65 years and over","Total people, sex","1996",4800,
"Auckland","65 years and over","Total people, sex","1996",112300,
"Waikato district","65 years and over","Total people, sex","1996",4600,
"Matamata-Piako district","65 years and over","Total people, sex","1996",3800,
"Thames-Coromandel district","65 years and over","Total people, sex","1996",4800,
"Hauraki district","65 years and over","Total people, sex","1996",2250,
"Hamilton city","65 years and over","Total people, sex","1996",11000,
"Waipa district","65 years and over","Total people, sex","1996",4700,
"Otorohanga district","65 years and over","Total people, sex","1996",890,
"South Waikato district","65 years and over","Total people, sex","1996",2000,
"Waitomo district","65 years and over","Total people, sex","1996",1000,
"Taupo district","65 years and over","Total people, sex","1996",3400,
"Western Bay of Plenty district","65 years and over","Total people, sex","1996",4800,
"Tauranga city","65 years and over","Total people, sex","1996",13600,
"Tauranga city","65 years and over","Total people, sex","2001",15900,
"Western Bay of Plenty district","65 years and over","Total people, sex","2001",5600,
"Taupo district","65 years and over","Total people, sex","2001",3900,
"Waitomo district","65 years and over","Total people, sex","2001",1050,
"South Waikato district","65 years and over","Total people, sex","2001",2300,
"Otorohanga district","65 years and over","Total people, sex","2001",910,
"Waipa district","65 years and over","Total people, sex","2001",5200,
"Hamilton city","65 years and over","Total people, sex","2001",11900,
"Hauraki district","65 years and over","Total people, sex","2001",2550,
"Thames-Coromandel district","65 years and over","Total people, sex","2001",5300,
"Matamata-Piako district","65 years and over","Total people, sex","2001",4200,
"Waikato district","65 years and over","Total people, sex","2001",5000,
"Auckland","65 years and over","Total people, sex","2001",119600,
"Franklin local board area","65 years and over","Total people, sex","2001",5300,
"Papakura local board area","65 years and over","Total people, sex","2001",3800,
"Manurewa local board area","65 years and over","Total people, sex","2001",4600,
"Otara-Papatoetoe local board area","65 years and over","Total people, sex","2001",5700,
"Mangere-Otahuhu local board area","65 years and over","Total people, sex","2001",4300,
"Mangere-Otahuhu local board area","65 years and over","Total people, sex","2006",4900,
"Howick local board area","65 years and over","Total people, sex","2006",12100,
"Otara-Papatoetoe local board area","65 years and over","Total people, sex","2006",5900,
"Manurewa local board area","65 years and over","Total people, sex","2006",5700,
"Papakura local board area","65 years and over","Total people, sex","2006",4400,
"Franklin local board area","65 years and over","Total people, sex","2006",6400,
"Auckland","65 years and over","Total people, sex","2006",134000,
"Waikato district","65 years and over","Total people, sex","2006",5800,
"Matamata-Piako district","65 years and over","Total people, sex","2006",4900,
"Thames-Coromandel district","65 years and over","Total people, sex","2006",5700,
"Hauraki district","65 years and over","Total people, sex","2006",3050,
"Hamilton city","65 years and over","Total people, sex","2006",13500,
"Waipa district","65 years and over","Total people, sex","2006",6200,
"Otorohanga district","65 years and over","Total people, sex","2006",960,
"South Waikato district","65 years and over","Total people, sex","2006",2900,
"Waitomo district","65 years and over","Total people, sex","2006",1100,
"Taupo district","65 years and over","Total people, sex","2006",4500,
"Western Bay of Plenty district","65 years and over","Total people, sex","2006",6800,
"Tauranga city","65 years and over","Total people, sex","2006",18500,
"Tauranga city","65 years and over","Total people, sex","2007",19100,
"Western Bay of Plenty district","65 years and over","Total people, sex","2007",7000,
"Taupo district","65 years and over","Total people, sex","2007",4700,
"Waitomo district","65 years and over","Total people, sex","2007",1120,
"South Waikato district","65 years and over","Total people, sex","2007",3000,
"Otorohanga district","65 years and over","Total people, sex","2007",980,
"Waipa district","65 years and over","Total people, sex","2007",6400,
"Hamilton city","65 years and over","Total people, sex","2007",13900,
"Hauraki district","65 years and over","Total people, sex","2007",3200,
"Thames-Coromandel district","65 years and over","Total people, sex","2007",5800,
"Matamata-Piako district","65 years and over","Total people, sex","2007",5000,
"Waikato district","65 years and over","Total people, sex","2007",6000,
"Auckland","65 years and over","Total people, sex","2007",138200,
"Franklin local board area","65 years and over","Total people, sex","2007",6800,
"Papakura local board area","65 years and over","Total people, sex","2007",4500,
"Manurewa local board area","65 years and over","Total people, sex","2007",5900,
"Otara-Papatoetoe local board area","65 years and over","Total people, sex","2007",6000,
"Howick local board area","65 years and over","Total people, sex","2007",12700,
"Mangere-Otahuhu local board area","65 years and over","Total people, sex","2007",5100,
"Mangere-Otahuhu local board area","65 years and over","Total people, sex","2008",5200,
"Howick local board area","65 years and over","Total people, sex","2008",13200,
"Otara-Papatoetoe local board area","65 years and over","Total people, sex","2008",6100,
"Manurewa local board area","65 years and over","Total people, sex","2008",6000,
"Papakura local board area","65 years and over","Total people, sex","2008",4600,
"Franklin local board area","65 years and over","Total people, sex","2008",7100,
"Auckland","65 years and over","Total people, sex","2008",141300,
"Waikato district","65 years and over","Total people, sex","2008",6300,
"Matamata-Piako district","65 years and over","Total people, sex","2008",5100,
